GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C02_001E,S0101_C02_001M,S0101_C03_001E,S0101_C03_001M,S0101_C01_002E,S0101_C01_002M,S0101_C02_002E,S0101_C02_002M,S0101_C03_002E,S0101_C03_002M,S0101_C01_003E,S0101_C01_003M,S0101_C02_003E,S0101_C02_003M,S0101_C03_003E,S0101_C03_003M,S0101_C01_004E,S0101_C01_004M,S0101_C02_004E,S0101_C02_004M,S0101_C03_004E,S0101_C03_004M,S0101_C01_005E,S0101_C01_005M,S0101_C02_005E,S0101_C02_005M,S0101_C03_005E,S0101_C03_005M,S0101_C01_006E,S0101_C01_006M,S0101_C02_006E,S0101_C02_006M,S0101_C03_006E,S0101_C03_006M,S0101_C01_007E,S0101_C01_007M,S0101_C02_007E,S0101_C02_007M,S0101_C03_007E,S0101_C03_007M,S0101_C01_008E,S0101_C01_008M,S0101_C02_008E,S0101_C02_008M,S0101_C03_008E,S0101_C03_008M,S0101_C01_009E,S0101_C01_009M,S0101_C02_009E,S0101_C02_009M,S0101_C03_009E,S0101_C03_009M,S0101_C01_010E,S0101_C01_010M,S0101_C02_010E,S0101_C02_010M,S0101_C03_010E,S0101_C03_010M,S0101_C01_011E,S0101_C01_011M,S0101_C02_011E,S0101_C02_011M,S0101_C03_011E,S0101_C03_011M,S0101_C01_012E,S0101_C01_012M,S0101_C02_012E,S0101_C02_012M,S0101_C03_012E,S0101_C03_012M,S0101_C01_013E,S0101_C01_013M,S0101_C02_013E,S0101_C02_013M,S0101_C03_013E,S0101_C03_013M,S0101_C01_014E,S0101_C01_014M,S0101_C02_014E,S0101_C02_014M,S0101_C03_014E,S0101_C03_014M,S0101_C01_015E,S0101_C01_015M,S0101_C02_015E,S0101_C02_015M,S0101_C03_015E,S0101_C03_015M,S0101_C01_016E,S0101_C01_016M,S0101_C02_016E,S0101_C02_016M,S0101_C03_016E,S0101_C03_016M,S0101_C01_017E,S0101_C01_017M,S0101_C02_017E,S0101_C02_017M,S0101_C03_017E,S0101_C03_017M,S0101_C01_018E,S0101_C01_018M,S0101_C02_018E,S0101_C02_018M,S0101_C03_018E,S0101_C03_018M,S0101_C01_019E,S0101_C01_019M,S0101_C02_019E,S0101_C02_019M,S0101_C03_019E,S0101_C03_019M,S0101_C01_020E,S0101_C01_020M,S0101_C02_020E,S0101_C02_020M,S0101_C03_020E,S0101_C03_020M,S0101_C01_021E,S0101_C01_021M,S0101_C02_021E,S0101_C02_021M,S0101_C03_021E,S0101_C03_021M,S0101_C01_022E,S0101_C01_022M,S0101_C02_022E,S0101_C02_022M,S0101_C03_022E,S0101_C03_022M,S0101_C01_023E,S0101_C01_023M,S0101_C02_023E,S0101_C02_023M,S0101_C03_023E,S0101_C03_023M,S0101_C01_024E,S0101_C01_024M,S0101_C02_024E,S0101_C02_024M,S0101_C03_024E,S0101_C03_024M,S0101_C01_025E,S0101_C01_025M,S0101_C02_025E,S0101_C02_025M,S0101_C03_025E,S0101_C03_025M,S0101_C01_026E,S0101_C01_026M,S0101_C02_026E,S0101_C02_026M,S0101_C03_026E,S0101_C03_026M,S0101_C01_027E,S0101_C01_027M,S0101_C02_027E,S0101_C02_027M,S0101_C03_027E,S0101_C03_027M,S0101_C01_028E,S0101_C01_028M,S0101_C02_028E,S0101_C02_028M,S0101_C03_028E,S0101_C03_028M,S0101_C01_029E,S0101_C01_029M,S0101_C02_029E,S0101_C02_029M,S0101_C03_029E,S0101_C03_029M,S0101_C01_030E,S0101_C01_030M,S0101_C02_030E,S0101_C02_030M,S0101_C03_030E,S0101_C03_030M,S0101_C01_031E,S0101_C01_031M,S0101_C02_031E,S0101_C02_031M,S0101_C03_031E,S0101_C03_031M,S0101_C01_032E,S0101_C01_032M,S0101_C02_032E,S0101_C02_032M,S0101_C03_032E,S0101_C03_032M,S0101_C01_033E,S0101_C01_033M,S0101_C02_033E,S0101_C02_033M,S0101_C03_033E,S0101_C03_033M,S0101_C01_034E,S0101_C01_034M,S0101_C02_034E,S0101_C02_034M,S0101_C03_034E,S0101_C03_034M,S0101_C01_035E,S0101_C01_035M,S0101_C02_035E,S0101_C02_035M,S0101_C03_035E,S0101_C03_035M,S0101_C01_036E,S0101_C01_036M,S0101_C02_036E,S0101_C02_036M,S0101_C03_036E,S0101_C03_036M
0400000US01,Alabama,4712651,-555555555,2285905,956,2426746,956,6.4,0.1,6.7,0.1,6.1,0.1,6.6,0.1,6.9,0.1,6.3,0.1,6.7,0.1,7.1,0.1,6.3,0.1,7.3,0.1,7.7,0.1,6.9,0.1,7,0.1,7.2,0.1,6.8,0.1,6.5,0.1,6.6,0.1,6.4,0.1,6.1,0.1,6.2,0.1,6.1,0.1,6.6,0.1,6.6,0.1,6.5,0.1,6.9,0.1,7,0.1,6.8,0.1,7.4,0.1,7.4,0.1,7.4,0.1,7.2,0.1,7.2,0.1,7.2,0.1,6.4,0.1,6.3,0.1,6.5,0.1,5.4,0.1,5.4,0.1,5.5,0.1,4.2,0.1,4,0.1,4.3,0.1,3.3,0.1,3,0.1,3.6,0.1,2.6,0.1,2.2,0.1,2.9,0.1,1.9,0.1,1.4,0.1,2.3,0.1,1.6,0.1,0.9,0.1,2.2,0.1,13.3,0.1,14,0.1,12.6,0.1,4.3,0.1,4.6,0.1,4,0.1,10,0.1,10.4,0.1,9.7,0.1,40.4,0.1,41.4,0.1,39.5,0.1,78.8,0.1,77.7,0.1,79.9,0.1,76,0.1,74.6,0.1,77.2,0.1,18.9,0.1,17,0.1,20.7,0.1,16.5,0.1,14.6,0.1,18.3,0.1,13.5,0.1,11.6,0.1,15.2,0.1,6,0.1,4.6,0.1,7.3,0.1,37.5,0.1,36.1,0.2,38.9,0.1,94.2,0.1,(X),(X),(X),(X),60,0.1,(X),-888888888,(X),(X),21.6,0.1,(X),(X),(X),-888888888,38.4,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),1,-888888888,(X),-888888888,(X),(X)
0400000US02,Alaska,691189,-555555555,358919,630,332270,630,7.4,0.1,7.4,0.1,7.4,0.1,7.2,0.2,7.1,0.2,7.2,0.2,7.4,0.2,7.3,0.2,7.4,0.2,7.9,0.1,7.8,0.1,7.9,0.1,8,0.1,8.5,0.1,7.4,0.1,7.3,0.1,7.4,0.1,7.2,0.1,6.4,0.1,6.4,0.1,6.4,0.1,6.5,0.2,6.5,0.2,6.5,0.3,7.4,0.2,7.4,0.2,7.5,0.3,8.1,0.1,8.1,0.1,8.1,0.1,7.9,0.1,7.9,0.1,7.9,0.1,6.9,0.1,7,0.2,6.7,0.2,4.5,0.1,4.6,0.2,4.4,0.2,2.8,0.1,2.8,0.1,2.8,0.1,1.9,0.1,1.8,0.1,1.9,0.1,1.2,0.1,1.1,0.1,1.3,0.1,0.8,0.1,0.7,0.1,1,0.1,0.6,0.1,0.4,0.1,0.8,0.1,14.5,0.1,14.4,0.1,14.7,0.1,4.8,0.1,4.7,0.1,4.9,0.1,11,0.1,11.5,0.1,10.4,0.1,43.4,0.1,43.9,0.2,42.9,0.1,76.4,0.1,76.5,0.1,76.4,0.1,73.2,0.1,73.4,0.1,73,0.1,11.8,0.1,11.3,0.2,12.2,0.2,9.7,0.1,9.2,0.1,10.2,0.1,7.3,0.1,6.7,0.1,7.8,0.1,2.6,0.1,2.2,0.1,3.1,0.1,33.8,0.2,33.5,0.2,34.1,0.2,108,0.4,(X),(X),(X),(X),51.6,0.1,(X),-888888888,(X),(X),11,0.1,(X),(X),(X),-888888888,40.6,0.1,(X),(X),(X),(X),0.1,-888888888,(X),-888888888,(X),(X),1.2,-888888888,(X),-888888888,(X),(X)
0400000US04,Arizona,6246816,-555555555,3108234,471,3138582,471,7.4,0.1,7.6,0.1,7.2,0.1,7,0.1,7.2,0.1,6.9,0.1,7,0.1,7.3,0.1,6.8,0.1,7.2,0.1,7.5,0.1,7,0.1,6.9,0.1,7.2,0.1,6.6,0.1,7.2,0.1,7.3,0.1,7,0.1,6.5,0.1,6.7,0.1,6.3,0.1,6.7,0.1,6.9,0.1,6.6,0.1,6.5,0.1,6.7,0.1,6.4,0.1,6.8,0.1,6.8,0.1,6.8,0.1,6.4,0.1,6.2,0.1,6.5,0.1,5.8,0.1,5.5,0.1,6,0.1,5.1,0.1,4.9,0.1,5.4,0.1,4.1,0.1,3.9,0.1,4.4,0.1,3.3,0.1,3.1,0.1,3.4,0.1,2.6,0.1,2.4,0.1,2.8,0.1,1.8,0.1,1.6,0.1,2.1,0.1,1.5,0.1,1.1,0.1,1.9,0.1,14.1,0.1,14.5,0.1,13.7,0.1,4.3,0.1,4.5,0.1,4.2,0.1,9.9,0.1,10.3,0.1,9.4,0.1,41.1,0.1,42.3,0.1,39.9,0.1,77.1,0.1,76.4,0.1,77.7,0.1,74.2,0.1,73.4,0.1,74.9,0.1,18.5,0.1,17.1,0.1,19.9,0.1,16.3,0.1,14.9,0.1,17.6,0.1,13.3,0.1,12.2,0.1,14.5,0.1,5.9,0.1,5.1,0.1,6.8,0.1,35.5,0.1,34.3,0.1,36.6,0.1,99,0.1,(X),(X),(X),(X),64.4,0.1,(X),-888888888,(X),(X),21.9,0.1,(X),(X),(X),-888888888,42.5,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),1.2,-888888888,(X),-888888888,(X),(X)
0400000US05,Arkansas,2872684,-555555555,1408945,1229,1463739,1229,6.8,0.1,7.1,0.1,6.5,0.1,6.8,0.1,7.1,0.1,6.6,0.1,6.7,0.1,7.1,0.1,6.4,0.1,7.2,0.1,7.5,0.1,6.8,0.1,6.8,0.1,7,0.1,6.6,0.1,6.7,0.1,6.8,0.1,6.6,0.1,6.2,0.1,6.3,0.1,6,0.1,6.4,0.1,6.4,0.1,6.3,0.1,6.7,0.1,6.8,0.1,6.5,0.1,7.1,0.1,7.1,0.1,7.1,0.1,6.8,0.1,6.8,0.1,6.8,0.1,6.2,0.1,6.2,0.1,6.2,0.1,5.5,0.1,5.3,0.1,5.7,0.1,4.3,0.1,4.1,0.1,4.5,0.1,3.5,0.1,3.3,0.1,3.6,0.1,2.6,0.1,2.3,0.1,2.9,0.1,2,0.1,1.6,0.1,2.4,0.1,1.7,0.1,1.1,0.1,2.4,0.1,13.6,0.1,14.2,0.1,13,0.1,4.2,0.1,4.4,0.1,4,0.1,9.8,0.1,10.1,0.1,9.5,0.1,39.9,0.1,40.8,0.1,39,0.1,78.2,0.1,77.2,0.1,79.2,0.1,75.4,0.1,74.3,0.1,76.5,0.1,19.6,0.1,17.7,0.1,21.5,0.1,17.3,0.1,15.5,0.1,19,0.1,14.1,0.1,12.4,0.1,15.8,0.1,6.4,0.1,5,0.1,7.7,0.1,37.2,0.2,35.8,0.1,38.4,0.2,96.3,0.2,(X),(X),(X),(X),63.2,0.1,(X),-888888888,(X),(X),23.1,0.1,(X),(X),(X),-888888888,40.1,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),0.6,-888888888,(X),-888888888,(X),(X)
0400000US06,California,36637290,-555555555,18223157,1043,18414133,1043,6.9,0.1,7.1,0.1,6.8,0.1,6.8,0.1,6.9,0.1,6.6,0.1,7.1,0.1,7.4,0.1,6.9,0.1,7.7,0.1,7.9,0.1,7.4,0.1,7.4,0.1,7.7,0.1,7,0.1,7.4,0.1,7.6,0.1,7.2,0.1,6.9,0.1,7,0.1,6.7,0.1,7.2,0.1,7.3,0.1,7.1,0.1,7.2,0.1,7.3,0.1,7.1,0.1,7.3,0.1,7.3,0.1,7.3,0.1,6.7,0.1,6.7,0.1,6.8,0.1,5.7,0.1,5.6,0.1,5.9,0.1,4.6,0.1,4.4,0.1,4.7,0.1,3.3,0.1,3.1,0.1,3.5,0.1,2.5,0.1,2.3,0.1,2.8,0.1,2.1,0.1,1.8,0.1,2.3,0.1,1.7,0.1,1.3,0.1,2,0.1,1.5,0.1,1.1,0.1,2,0.1,13.9,0.1,14.3,0.1,13.5,0.1,4.6,0.1,4.8,0.1,4.5,0.1,10.4,0.1,10.9,0.1,9.9,0.1,43.7,0.1,45,0.1,42.5,0.1,77.6,0.1,77,0.1,78.3,0.1,74.5,0.1,73.8,0.1,75.3,0.1,15.6,0.1,14,0.1,17.3,0.1,13.6,0.1,12,0.1,15.2,0.1,11.1,0.1,9.6,0.1,12.5,0.1,5.3,0.1,4.2,0.1,6.3,0.1,34.9,0.1,33.7,0.1,36,0.1,99,0.1,(X),(X),(X),(X),57.6,0.1,(X),-888888888,(X),(X),17.5,0.1,(X),(X),(X),-888888888,40.1,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),1.3,-888888888,(X),-888888888,(X),(X)
0400000US08,Colorado,4887061,-555555555,2448492,975,2438569,975,7,0.1,7.1,0.1,6.8,0.1,6.9,0.1,7.1,0.1,6.8,0.1,6.6,0.1,6.7,0.1,6.4,0.1,7,0.1,7.2,0.1,6.7,0.1,7.1,0.1,7.4,0.1,6.8,0.1,7.3,0.1,7.5,0.1,7.2,0.1,7,0.1,7.2,0.1,6.8,0.1,7.2,0.1,7.4,0.1,7,0.1,7.2,0.1,7.2,0.1,7.1,0.1,7.7,0.1,7.6,0.1,7.7,0.1,7.3,0.1,7.3,0.1,7.4,0.1,6.3,0.1,6.2,0.1,6.4,0.1,5,0.1,4.8,0.1,5.1,0.1,3.3,0.1,3.2,0.1,3.5,0.1,2.5,0.1,2.3,0.1,2.7,0.1,1.9,0.1,1.7,0.1,2.2,0.1,1.5,0.1,1.2,0.1,1.8,0.1,1.3,0.1,0.9,0.1,1.8,0.1,13.5,0.1,13.8,0.1,13.2,0.1,4.1,0.1,4.3,0.1,4,0.1,9.9,0.1,10.3,0.1,9.5,0.1,42.8,0.1,43.9,0.1,41.6,0.1,78.2,0.1,77.7,0.1,78.6,0.1,75.4,0.1,74.8,0.1,76,0.1,15.5,0.1,14.1,0.1,16.9,0.1,13.3,0.1,11.9,0.1,14.7,0.1,10.5,0.1,9.2,0.1,11.9,0.1,4.7,0.1,3.7,0.1,5.7,0.1,35.8,0.1,34.9,0.1,36.8,0.1,100.4,0.1,(X),(X),(X),(X),54.2,0.1,(X),-888888888,(X),(X),16.2,0.1,(X),(X),(X),-888888888,37.9,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),1,-888888888,(X),-888888888,(X),(X)
0400000US09,Connecticut,3545837,-555555555,1724834,357,1821003,357,5.8,0.1,6.1,0.1,5.5,0.1,6.4,0.1,6.7,0.1,6,0.1,6.8,0.1,7.2,0.1,6.5,0.1,7.1,0.1,7.5,0.1,6.7,0.1,6.2,0.1,6.6,0.1,5.9,0.1,5.8,0.1,6,0.1,5.6,0.1,5.8,0.1,5.9,0.1,5.7,0.1,6.7,0.1,6.7,0.1,6.8,0.1,7.7,0.1,7.8,0.1,7.7,0.1,8.2,0.1,8.3,0.1,8.2,0.1,7.7,0.1,7.7,0.1,7.6,0.1,6.5,0.1,6.4,0.1,6.5,0.1,5.4,0.1,5.2,0.1,5.5,0.1,3.8,0.1,3.6,0.1,4,0.1,2.9,0.1,2.7,0.1,3.2,0.1,2.6,0.1,2.3,0.1,2.9,0.1,2.2,0.1,1.7,0.1,2.6,0.1,2.3,0.1,1.5,0.1,3.1,0.1,13.2,0.1,13.9,0.1,12.5,0.1,4.4,0.1,4.6,0.1,4.1,0.1,9,0.1,9.6,0.1,8.5,0.1,39.4,0.1,40.5,0.1,38.4,0.1,79.6,0.1,78.5,0.1,80.6,0.1,76.7,0.1,75.4,0.1,77.8,0.1,19.2,0.1,17.1,0.1,21.2,0.1,16.9,0.1,14.9,0.1,18.9,0.1,13.9,0.1,11.9,0.1,15.8,0.1,7.1,0.1,5.5,0.1,8.6,0.1,39.5,0.1,38.1,0.1,40.8,0.1,94.7,0.1,(X),(X),(X),(X),59.2,0.1,(X),-888888888,(X),(X),22.1,0.1,(X),(X),(X),-888888888,37.2,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),1.1,-888888888,(X),-888888888,(X),(X)
0400000US10,Delaware,881278,-555555555,427218,133,454060,133,6.4,0.1,6.7,0.1,6.1,0.1,6.4,0.1,6.7,0.2,6.1,0.2,6.3,0.1,6.7,0.2,6,0.2,7.3,0.1,7.6,0.1,6.9,0.1,6.9,0.1,7.2,0.1,6.6,0.1,6.6,0.1,6.7,0.1,6.5,0.1,5.9,0.1,6,0.1,5.9,0.1,6.7,0.1,6.7,0.2,6.6,0.2,7,0.1,7.1,0.2,7,0.2,7.6,0.1,7.6,0.1,7.6,0.1,7.1,0.1,7.1,0.1,7.2,0.1,6.2,0.1,6.2,0.2,6.3,0.2,5.6,0.1,5.4,0.2,5.9,0.2,4.3,0.1,4.2,0.1,4.5,0.1,3.4,0.1,3.2,0.1,3.5,0.1,2.6,0.1,2.4,0.1,2.8,0.1,1.9,0.1,1.5,0.1,2.2,0.1,1.8,0.1,1.2,0.1,2.3,0.1,12.7,0.1,13.4,0.1,12.1,0.1,4.2,0.1,4.5,0.1,3.9,0.1,10,0.1,10.4,0.1,9.7,0.1,40.4,0.1,41.2,0.1,39.5,0.1,79.5,0.1,78.3,0.1,80.5,0.1,76.7,0.1,75.4,0.1,77.9,0.1,19.6,0.1,17.9,0.2,21.2,0.2,17.2,0.1,15.6,0.1,18.8,0.1,13.9,0.1,12.5,0.1,15.3,0.1,6.2,0.1,5.1,0.1,7.3,0.1,38.3,0.2,36.9,0.2,39.5,0.2,94.1,0.1,(X),(X),(X),(X),59.3,0.1,(X),-888888888,(X),(X),22.2,0.1,(X),(X),(X),-888888888,37.1,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),0.9,-888888888,(X),-888888888,(X),(X)
0400000US11,District of Columbia,584400,-555555555,276101,147,308299,147,5.5,0.1,6,0.1,5.2,0.1,4.5,0.1,4.7,0.2,4.2,0.2,4.6,0.1,4.9,0.2,4.3,0.2,7.5,0.1,7.5,0.2,7.4,0.2,9.6,0.1,9.2,0.2,10,0.2,10.7,0.1,10.5,0.1,10.9,0.1,8.8,0.1,9,0.1,8.6,0.1,7.4,0.2,7.8,0.3,7.1,0.3,6.6,0.2,7.2,0.3,6,0.3,6.6,0.1,7,0.1,6.2,0.1,6.3,0.1,6.4,0.1,6.2,0.1,5.8,0.1,5.6,0.2,5.9,0.2,4.8,0.1,4.7,0.2,5,0.2,3.5,0.1,3.3,0.1,3.6,0.2,2.6,0.1,2.3,0.1,2.8,0.2,2,0.1,1.8,0.1,2.3,0.1,1.8,0.1,1.4,0.1,2.1,0.2,1.6,0.1,0.9,0.1,2.3,0.1,9,0.1,9.6,0.1,8.5,0.1,3.1,0.1,3.3,0.1,2.9,0.1,14,0.1,13.4,0.1,14.5,0.1,50.5,0.1,51.2,0.1,49.9,0.1,84.4,0.1,83.3,0.1,85.4,0.1,82.4,0.1,81.1,0.1,83.4,0.1,16.3,0.1,14.4,0.2,18.1,0.2,14.2,0.1,12.2,0.2,15.9,0.2,11.5,0.1,9.7,0.1,13.1,0.1,5.5,0.1,4.1,0.1,6.7,0.1,34.3,0.1,33.9,0.2,34.7,0.2,89.6,0.1,(X),(X),(X),(X),41.1,0.1,(X),-888888888,(X),(X),16.2,0.1,(X),(X),(X),-888888888,24.9,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),1.4,-888888888,(X),-888888888,(X),(X)
0400000US12,Florida,18511620,-555555555,9050155,1400,9461465,1400,5.8,0.1,6.1,0.1,5.6,0.1,5.8,0.1,6,0.1,5.6,0.1,6.1,0.1,6.5,0.1,5.8,0.1,6.7,0.1,7,0.1,6.3,0.1,6.5,0.1,6.8,0.1,6.2,0.1,6.3,0.1,6.4,0.1,6.1,0.1,5.9,0.1,6,0.1,5.8,0.1,6.5,0.1,6.6,0.1,6.4,0.1,7.1,0.1,7.2,0.1,6.9,0.1,7.5,0.1,7.5,0.1,7.4,0.1,6.9,0.1,6.8,0.1,7,0.1,6.3,0.1,6.1,0.1,6.5,0.1,5.7,0.1,5.6,0.1,5.9,0.1,4.8,0.1,4.7,0.1,5,0.1,4,0.1,3.7,0.1,4.2,0.1,3.3,0.1,3.1,0.1,3.6,0.1,2.6,0.1,2.2,0.1,2.9,0.1,2.2,0.1,1.7,0.1,2.8,0.1,11.9,0.1,12.4,0.1,11.4,0.1,3.9,0.1,4.2,0.1,3.7,0.1,9.2,0.1,9.7,0.1,8.8,0.1,38.9,0.1,40.1,0.1,37.7,0.1,81,0.1,80.1,0.1,81.8,0.1,78.3,0.1,77.3,0.1,79.3,0.1,22.7,0.1,20.9,0.1,24.4,0.1,20.3,0.1,18.6,0.1,21.9,0.1,16.9,0.1,15.4,0.1,18.4,0.1,8.1,0.1,6.9,0.1,9.2,0.1,40.3,0.1,38.9,0.1,41.6,0.1,95.7,0.1,(X),(X),(X),(X),62.9,0.1,(X),-888888888,(X),(X),27.6,0.1,(X),(X),(X),-888888888,35.3,0.1,(X),(X),(X),(X),0.2,-888888888,(X),-888888888,(X),(X),1.3,-888888888,(X),-888888888,(X),(X)
