"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B17026_001E","Estimate!!Total:"
"B17026_001M","Margin of Error!!Total:"
"B17026_002E","Estimate!!Total:!!Under .50"
"B17026_002M","Margin of Error!!Total:!!Under .50"
"B17026_003E","Estimate!!Total:!!.50 to .74"
"B17026_003M","Margin of Error!!Total:!!.50 to .74"
"B17026_004E","Estimate!!Total:!!.75 to .99"
"B17026_004M","Margin of Error!!Total:!!.75 to .99"
"B17026_005E","Estimate!!Total:!!1.00 to 1.24"
"B17026_005M","Margin of Error!!Total:!!1.00 to 1.24"
"B17026_006E","Estimate!!Total:!!1.25 to 1.49"
"B17026_006M","Margin of Error!!Total:!!1.25 to 1.49"
"B17026_007E","Estimate!!Total:!!1.50 to 1.74"
"B17026_007M","Margin of Error!!Total:!!1.50 to 1.74"
"B17026_008E","Estimate!!Total:!!1.75 to 1.84"
"B17026_008M","Margin of Error!!Total:!!1.75 to 1.84"
"B17026_009E","Estimate!!Total:!!1.85 to 1.99"
"B17026_009M","Margin of Error!!Total:!!1.85 to 1.99"
"B17026_010E","Estimate!!Total:!!2.00 to 2.99"
"B17026_010M","Margin of Error!!Total:!!2.00 to 2.99"
"B17026_011E","Estimate!!Total:!!3.00 to 3.99"
"B17026_011M","Margin of Error!!Total:!!3.00 to 3.99"
"B17026_012E","Estimate!!Total:!!4.00 to 4.99"
"B17026_012M","Margin of Error!!Total:!!4.00 to 4.99"
"B17026_013E","Estimate!!Total:!!5.00 and over"
"B17026_013M","Margin of Error!!Total:!!5.00 and over"
