"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US01001","Autauga County, Alabama","58761","*****","43747","345","11496","525","59","71","658","218","0","30","321","243","2480","668","900","372","1580","533",
"0500000US01003","Baldwin County, Alabama","233420","*****","195998","1247","19445","746","848","325","2046","347","31","32","4414","1216","10638","1169","3952","864","6686","874",
"0500000US01005","Barbour County, Alabama","24877","*****","11309","221","11668","220","74","39","126","26","3","4","1088","270","609","215","195","97","414","174",
"0500000US01007","Bibb County, Alabama","22251","*****","16872","225","4603","294","21","25","69","94","0","24","108","129","578","321","109","100","469","310",
"0500000US01009","Blount County, Alabama","59077","*****","53941","683","729","196","227","157","100","96","117","96","1859","546","2104","434","881","421","1223","215",
"0500000US01011","Bullock County, Alabama","10328","*****","2397","227","7117","88","0","20","43","49","0","20","568","259","203","144","137","110","66","77",
"0500000US01013","Butler County, Alabama","18981","*****","9777","76","8462","68","69","51","243","59","0","20","57","34","373","115","154","59","219","102",
"0500000US01015","Calhoun County, Alabama","116162","*****","83306","575","25631","449","258","132","765","148","207","190","2223","519","3772","531","1073","356","2699","354",
"0500000US01017","Chambers County, Alabama","34612","*****","19642","122","14114","154","21","29","60","54","3","5","240","122","532","158","95","74","437","138",
"0500000US01019","Cherokee County, Alabama","25069","*****","22884","129","1008","144","120","79","27","62","0","24","206","78","824","201","137","104","687","175",
"0500000US01021","Chilton County, Alabama","45140","*****","36693","590","4257","226","647","558","229","48","136","198","1512","540","1666","334","781","260","885","236",
"0500000US01023","Choctaw County, Alabama","12669","*****","7180","28","5062","175","28","30","15","24","0","20","85","64","299","181","0","20","299","181",
"0500000US01025","Clarke County, Alabama","23058","*****","11862","116","10490","92","15","17","90","30","0","24","194","127","407","144","56","61","351","160",
"0500000US01027","Clay County, Alabama","14209","*****","11581","121","1790","217","5","16","36","42","0","20","128","106","669","249","251","204","418","196",
"0500000US01029","Cleburne County, Alabama","15144","*****","14028","57","411","64","35","32","15","24","0","20","263","99","392","102","115","79","277","66",
"0500000US01031","Coffee County, Alabama","53559","*****","38834","378","8997","446","368","127","563","136","8","14","1083","347","3706","418","919","213","2787","431",
"0500000US01033","Colbert County, Alabama","57270","*****","44698","123","9185","253","178","96","214","95","53","49","1395","260","1547","337","247","132","1300","310",
"0500000US01035","Conecuh County, Alabama","11576","*****","5751","20","5611","102","33","37","36","32","0","20","24","28","121","70","5","9","116","69",
"0500000US01037","Coosa County, Alabama","10329","*****","6859","125","3120","33","9","15","0","20","0","20","75","94","266","98","134","93","132","35",
"0500000US01039","Covington County, Alabama","37542","*****","31404","143","4606","233","117","73","218","15","0","27","293","152","904","269","98","74","806","256",
"0500000US01041","Crenshaw County, Alabama","13205","*****","9386","86","3059","149","10","13","154","40","6","10","142","96","448","152","22","18","426","150",
"0500000US01043","Cullman County, Alabama","88284","*****","81077","527","960","151","355","236","278","82","27","34","1460","575","4127","706","2261","647","1866","254",
"0500000US01045","Dale County, Alabama","49455","*****","34817","300","10416","280","476","195","611","95","17","16","1176","278","1942","308","306","122","1636","289",
"0500000US01047","Dallas County, Alabama","38326","*****","10634","199","26467","600","208","164","240","14","0","27","16","52","761","556","0","27","761","556",
"0500000US01049","DeKalb County, Alabama","71680","*****","59102","727","1043","115","1098","449","72","44","413","570","6443","927","3509","589","1502","531","2007","196",
"0500000US01051","Elmore County, Alabama","87694","*****","64769","458","18276","624","248","98","602","187","0","30","677","313","3122","698","964","354","2158","639",
"0500000US01053","Escambia County, Alabama","36755","*****","22762","194","11138","563","1124","118","90","77","0","27","227","157","1414","584","156","93","1258","579",
"0500000US01055","Etowah County, Alabama","103348","*****","80555","408","15724","445","329","144","748","159","2","3","2404","500","3586","581","1204","333","2382","419",
"0500000US01057","Fayette County, Alabama","16297","*****","13727","102","2074","177","24","27","36","37","40","61","28","42","368","176","41","38","327","170",
"0500000US01059","Franklin County, Alabama","32011","*****","24853","424","1360","115","134","115","35","40","14","29","4210","590","1405","438","871","408","534","156",
"0500000US01061","Geneva County, Alabama","26647","*****","22360","383","2472","276","71","46","143","173","6","8","636","358","959","256","226","140","733","221",
"0500000US01063","Greene County, Alabama","7706","*****","1333","26","6305","90","7","18","0","18","0","18","12","30","49","76","0","18","49","76",
"0500000US01065","Hale County, Alabama","14742","*****","5663","159","8373","277","42","64","9","17","0","20","11","15","644","311","268","174","376","243",
"0500000US01067","Henry County, Alabama","17282","*****","12194","127","4375","90","60","33","96","19","8","19","74","56","475","154","232","108","243","93",
"0500000US01069","Houston County, Alabama","107040","*****","71260","382","29166","235","309","86","987","103","39","26","967","290","4312","373","1583","235","2729","267",
"0500000US01071","Jackson County, Alabama","52618","*****","47208","273","1731","208","397","115","213","58","17","22","948","283","2104","317","367","226","1737","235",
"0500000US01073","Jefferson County, Alabama","672265","*****","338374","1420","287203","1616","1225","367","11712","493","167","45","13328","2012","20256","1781","7518","1259","12738","1500",
"0500000US01075","Lamar County, Alabama","13885","*****","11913","51","1527","152","49","47","23","26","0","20","94","77","279","140","6","12","273","140",
"0500000US01077","Lauderdale County, Alabama","94329","*****","79592","632","9317","408","315","111","576","151","64","52","697","320","3768","829","1589","659","2179","396",
"0500000US01079","Lawrence County, Alabama","33116","*****","25421","161","3371","275","1669","320","97","96","17","28","464","181","2077","382","235","94","1842","377",
"0500000US01081","Lee County, Alabama","175126","*****","120255","746","39363","702","270","113","7614","282","49","81","1894","613","5681","822","1797","577","3884","643",
"0500000US01083","Limestone County, Alabama","104199","*****","80040","731","13714","485","880","334","1917","205","106","71","2571","684","4971","701","1848","608","3123","429",
"0500000US01085","Lowndes County, Alabama","10153","*****","2493","17","7603","39","0","20","0","20","0","20","0","20","57","43","22","27","35","34",
"0500000US01087","Macon County, Alabama","19198","*****","3133","46","15142","149","7","9","78","73","0","20","49","44","789","152","410","69","379","135",
"0500000US01089","Madison County, Alabama","389781","*****","254819","1115","95400","996","2008","320","9675","662","255","103","6988","921","20636","1452","6304","884","14332","1278",
"0500000US01091","Marengo County, Alabama","19180","*****","8705","172","9750","236","64","63","151","214","0","20","141","123","369","194","155","120","214","164",
"0500000US01093","Marion County, Alabama","29203","*****","26673","238","1113","137","93","98","85","42","8","12","470","140","761","268","309","239","452","147",
"0500000US01095","Marshall County, Alabama","97923","*****","83991","935","2746","279","877","469","600","75","78","87","4197","667","5434","723","3287","595","2147","340",
"0500000US01097","Mobile County, Alabama","413878","*****","234657","605","150071","982","1625","295","8383","416","95","53","5107","767","13940","1071","4118","710","9822","892",
"0500000US01099","Monroe County, Alabama","19816","*****","10645","23","8384","190","260","83","47","38","13","17","31","39","436","206","8","13","428","206",
"0500000US01101","Montgomery County, Alabama","228132","*****","74723","594","134763","727","333","154","7604","235","8","13","3126","592","7575","946","2652","579","4923","784",
"0500000US01103","Morgan County, Alabama","123102","*****","94056","690","16631","671","471","228","605","120","31","36","5058","878","6250","850","2702","690","3548","457",
"0500000US01105","Perry County, Alabama","8479","*****","2411","15","6004","55","1","2","7","16","0","18","8","19","48","40","5","8","43","43",
"0500000US01107","Pickens County, Alabama","18925","*****","10880","107","7506","148","33","36","10","19","0","20","134","107","362","133","47","49","315","119",
"0500000US01109","Pike County, Alabama","32997","*****","18678","214","12302","214","112","49","664","79","0","27","133","103","1108","324","326","219","782","229",
"0500000US01111","Randolph County, Alabama","22179","*****","17068","136","4203","137","25","24","62","47","0","24","182","102","639","191","180","108","459","139",
"0500000US01113","Russell County, Alabama","58849","*****","27622","537","26410","525","107","74","459","122","58","85","1199","435","2994","703","952","489","2042","520",
"0500000US01115","St. Clair County, Alabama","91719","*****","78169","405","8985","397","310","118","373","210","61","95","1215","632","2606","602","811","310","1795","462",
"0500000US01117","Shelby County, Alabama","223916","*****","174752","999","29118","559","533","261","4491","314","22","26","6362","927","8638","1000","2980","808","5658","657",
"0500000US01119","Sumter County, Alabama","12196","*****","3109","78","8813","116","10","18","57","59","0","20","16","38","191","112","94","82","97","74",
"0500000US01121","Talladega County, Alabama","81105","*****","51186","246","25893","409","124","70","350","109","50","58","979","219","2523","450","350","180","2173","411",
"0500000US01123","Tallapoosa County, Alabama","41251","*****","28516","170","10957","203","26","30","190","82","0","27","388","178","1174","310","468","218","706","238",
"0500000US01125","Tuscaloosa County, Alabama","231558","*****","143889","814","74222","802","393","276","3817","306","24","38","2009","902","7204","993","3112","762","4092","827",
"0500000US01127","Walker County, Alabama","64978","*****","57555","499","3890","270","100","64","123","87","0","30","1126","392","2184","469","756","397","1428","285",
"0500000US01129","Washington County, Alabama","15434","*****","10298","82","3608","120","1042","181","62","54","0","20","20","31","404","224","0","20","404","224",
"0500000US01131","Wilcox County, Alabama","10441","*****","2876","40","7328","263","13","12","4","6","0","20","0","20","220","257","0","20","220","257",
"0500000US01133","Winston County, Alabama","23655","*****","22050","260","263","110","123","101","105","50","0","24","371","176","743","273","293","233","450","140",
"0500000US02013","Aleutians East Borough, Alaska","3407","*****","576","142","183","129","1263","111","676","196","10","9","277","108","422","74","83","41","339","67",
"0500000US02016","Aleutians West Census Area, Alaska","5219","*****","1356","81","201","171","487","85","2123","191","183","15","285","104","584","141","317","100","267","102",
"0500000US02020","Anchorage Municipality, Alaska","290674","*****","172004","1355","15469","820","21507","1067","28440","1050","8563","433","7728","1290","36963","2107","5859","922","31104","1973",
"0500000US02050","Bethel Census Area, Alaska","18538","*****","1678","70","215","5","15452","219","262","15","40","53","89","55","802","199","59","57","743","196",
"0500000US02060","Bristol Bay Borough, Alaska","854","87","387","69","3","4","269","50","48","42","17","17","22","36","108","38","18","15","90","36",
"0500000US02063","Chugach Census Area, Alaska","7000","*****","5015","166","113","101","371","95","489","100","94","10","344","144","574","156","102","74","472","148",
"0500000US02066","Copper River Census Area, Alaska","2614","*****","1385","114","1","5","886","114","12","19","0","10","37","32","293","89","96","59","197","92",
"0500000US02068","Denali Borough, Alaska","2101","92","1591","202","48","65","64","52","73","69","0","10","45","50","280","198","0","10","280","198",
"0500000US02070","Dillingham Census Area, Alaska","4854","*****","775","113","76","189","3451","270","78","24","3","5","2","5","469","161","9","13","460","161",
"0500000US02090","Fairbanks North Star Borough, Alaska","96299","*****","68726","733","3979","446","6733","837","3032","313","653","25","1672","514","11504","1216","2821","659","8683","1023",
"0500000US02100","Haines Borough, Alaska","2079","*****","1682","158","0","10","129","64","68","57","0","10","2","14","198","114","5","6","193","114",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2329","*****","1238","119","9","16","672","93","19","19","4","7","0","10","387","82","71","66","316","101",
"0500000US02110","Juneau City and Borough, Alaska","32108","*****","20543","297","345","125","3018","372","2317","220","437","13","620","296","4828","450","905","270","3923","430",
"0500000US02122","Kenai Peninsula Borough, Alaska","59235","*****","47151","377","424","128","4389","378","1021","165","222","14","1006","311","5022","481","988","244","4034","456",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13910","*****","8909","127","91","44","2030","188","1180","67","29","25","217","74","1454","255","232","88","1222","231",
"0500000US02150","Kodiak Island Borough, Alaska","13065","*****","6612","307","120","56","1492","167","2964","152","2","4","89","76","1786","374","584","302","1202","271",
"0500000US02158","Kusilvak Census Area, Alaska","8372","*****","265","8","70","162","7606","203","14","13","12","11","64","116","341","104","20","34","321","95",
"0500000US02164","Lake and Peninsula Borough, Alaska","999","92","171","98","22","13","617","95","35","44","0","10","0","10","154","106","0","10","154","106",
"0500000US02170","Matanuska-Susitna Borough, Alaska","108661","*****","86055","451","1392","140","6743","510","1956","184","464","110","1449","312","10602","639","2210","348","8392","572",
"0500000US02180","Nome Census Area, Alaska","10018","*****","1423","22","103","14","7617","123","130","59","2","3","24","20","719","130","48","38","671","123",
"0500000US02185","North Slope Borough, Alaska","10924","*****","3474","59","193","163","5480","269","632","101","209","16","134","82","802","241","97","75","705","239",
"0500000US02188","Northwest Arctic Borough, Alaska","7682","*****","818","65","95","31","6200","91","99","40","22","17","18","57","430","95","41","35","389","90",
